vehicle_type,fault_code,vehicle_age_months,mileage_km,prior_services,technician_notes,replaced_part,root_cause
Scooter,P0715,38,14932,0,"Customer reported reduced range. Checked input speed sensor, found issue consistent with input speed sensor fault.",Input speed sensor,Input speed sensor fault
ICE,P0304,56,22154,1,Routine service flagged power loss on acceleration. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
ICE,B1318,35,9171,2,"No prior complaints, code triggered during diagnostic scan. charging system fault confirmed on teardown.",Charging module,Charging system fault
Scooter,P0620,13,6681,0,Routine service flagged slow charging. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0505,56,48280,5,"Customer reported rough idling. Checked throttle body, found issue consistent with throttle body dirty.",Throttle body,Throttle body dirty
Scooter,P0455,52,56970,6,Bike came in with unusual noise. evap system leak suspected after inspection.,EVAP hose/canister,EVAP system leak
ICE,P0562,28,12525,1,"Customer reported slow charging. Checked alternator, found issue consistent with alternator fault.",Alternator,Alternator fault
Scooter,P0715,4,43238,6,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0087,27,32326,4,"No prior complaints, code triggered during diagnostic scan. fuel pump weak confirmed on teardown.",Fuel pump,Fuel pump weak
Scooter,P0115,1,26086,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0507,10,12945,1,"Customer reported unusual noise. Checked idle air control valve, found issue consistent with idle air control valve fault.",Idle air control valve,Idle air control valve fault
Scooter,P0705,48,21052,1,"No prior complaints, code triggered during diagnostic scan. gear sensor fault confirmed on teardown.",Gear sensor,Gear sensor fault
ICE,P0700,4,33781,3,"Customer reported unusual noise. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
ICE,P0304,26,8356,2,"Customer reported unusual noise. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
Scooter,P0171,43,38751,5,Routine service flagged reduced range. Root cause traced to fuel pump weak.,Fuel pump,Fuel pump weak
EV,EV0310,16,17907,2,Routine service flagged slow charging. Root cause traced to charging port fault.,Charging port,Charging port fault
ICE,P0335,1,30534,4,"Customer reported rough idling. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0705,33,17880,1,"Customer reported reduced range. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0440,11,29216,4,"Customer reported power loss on acceleration. Checked evap purge valve, found issue consistent with evap purge valve fault.",EVAP purge valve,EVAP purge valve fault
Scooter,P0715,60,43975,4,Bike came in with warning light on dash. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
ICE,P0100,48,36756,3,Bike came in with power loss on acceleration. maf sensor dirty suspected after inspection.,MAF sensor,MAF sensor dirty
ICE,P0340,44,42065,5,Routine service flagged battery draining fast. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0303,41,28259,3,Routine service flagged battery draining fast. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
Scooter,P0105,11,49077,6,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0300,5,58375,8,"Customer reported battery draining fast. Checked ignition coil, found issue consistent with ignition coil fault.",Ignition coil,Ignition coil fault
ICE,P0440,28,8852,0,"Customer reported warning light on dash. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
ICE,P0135,43,7236,0,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0110,56,11149,0,"Customer reported reduced range. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0340,52,44403,6,Routine service flagged reduced range. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,EV0412,25,57658,6,Bike came in with reduced range. hv isolation fault suspected after inspection.,HV wiring/insulation,HV isolation fault
Scooter,P0563,20,54274,5,Bike came in with slow charging. voltage regulator fault suspected after inspection.,Voltage regulator,Voltage regulator fault
Scooter,P0340,56,5049,0,"No prior complaints, code triggered during diagnostic scan. cam position sensor fault confirmed on teardown.",Cam position sensor,Cam position sensor fault
Scooter,P0705,2,8059,1,Routine service flagged rough idling. Root cause traced to gear sensor fault.,Gear sensor,Gear sensor fault
Scooter,P0172,23,48245,6,"Customer reported slow charging. Checked maf sensor, found issue consistent with maf sensor dirty.",MAF sensor,MAF sensor dirty
Scooter,P0720,17,3408,1,Bike came in with warning light on dash. output speed sensor fault suspected after inspection.,Output speed sensor,Output speed sensor fault
ICE,P0507,43,22139,3,"Customer reported power loss on acceleration. Checked idle air control valve, found issue consistent with idle air control valve fault.",Idle air control valve,Idle air control valve fault
Scooter,P0325,43,27264,3,Routine service flagged unusual noise. Root cause traced to knock sensor fault.,Knock sensor,Knock sensor fault
ICE,P0105,27,44076,5,Bike came in with unusual noise. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0720,26,36409,3,Bike came in with slow charging. output speed sensor fault suspected after inspection.,Output speed sensor,Output speed sensor fault
Scooter,P0730,30,29452,3,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0115,19,34280,5,Routine service flagged rough idling. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0087,15,53358,5,"Customer reported reduced range. Checked fuel pump, found issue consistent with fuel pump weak.",Fuel pump,Fuel pump weak
ICE,P0620,30,27660,4,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0455,10,43495,6,"Customer reported battery draining fast. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
ICE,P0507,12,53198,7,"Customer reported unusual noise. Checked throttle body, found issue consistent with throttle body dirty.",Throttle body,Throttle body dirty
ICE,P0087,30,9238,1,Routine service flagged battery draining fast. Root cause traced to fuel filter clogged.,Fuel filter,Fuel filter clogged
Scooter,P0562,54,59931,8,Bike came in with power loss on acceleration. alternator fault suspected after inspection.,Alternator,Alternator fault
Scooter,P0620,17,49768,5,Routine service flagged battery draining fast. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0700,41,16179,2,Routine service flagged reduced range. Root cause traced to gear sensor fault.,Gear sensor,Gear sensor fault
Scooter,P0191,21,59025,8,Bike came in with reduced range. fuel pressure sensor fault suspected after inspection.,Fuel pressure sensor,Fuel pressure sensor fault
ICE,P0442,46,14521,0,Routine service flagged unusual noise. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
Scooter,P0563,4,14055,1,"Customer reported battery draining fast. Checked voltage regulator, found issue consistent with voltage regulator fault.",Voltage regulator,Voltage regulator fault
Scooter,P0720,31,886,0,"No prior complaints, code triggered during diagnostic scan. output speed sensor fault confirmed on teardown.",Output speed sensor,Output speed sensor fault
ICE,P0505,32,14880,1,"Customer reported slow charging. Checked idle air control valve, found issue consistent with idle air control valve fault.",Idle air control valve,Idle air control valve fault
Scooter,P0340,47,11316,1,"Customer reported slow charging. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0730,6,42623,5,"No prior complaints, code triggered during diagnostic scan. transmission control fault confirmed on teardown.",TCU,Transmission control fault
Scooter,P0303,25,21953,1,Routine service flagged battery draining fast. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
Scooter,P0442,49,55020,6,"Customer reported slow charging. Checked evap hose/canister, found issue consistent with evap system leak.",EVAP hose/canister,EVAP system leak
ICE,P0301,23,15194,2,"Customer reported battery draining fast. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
ICE,P0301,13,55499,5,Bike came in with reduced range. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
ICE,P0620,37,14784,1,Routine service flagged reduced range. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,EV0101,50,54193,5,"Customer reported unusual noise. Checked thermal sensor, found issue consistent with thermal sensor fault.",Thermal sensor,Thermal sensor fault
Scooter,P0301,37,44890,5,Bike came in with rough idling. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
Scooter,P0730,7,46191,5,"Customer reported battery draining fast. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0720,23,35413,4,"Customer reported unusual noise. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0205,1,56177,7,"Customer reported slow charging. Checked motor phase wiring, found issue consistent with motor phase wiring fault.",Motor phase wiring,Motor phase wiring fault
Scooter,P0440,46,10526,1,Routine service flagged unusual noise. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
Scooter,P0705,30,29045,4,Routine service flagged battery draining fast. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0087,18,58278,7,"No prior complaints, code triggered during diagnostic scan. fuel pump weak confirmed on teardown.",Fuel pump,Fuel pump weak
EV,EV0102,22,2380,0,Bike came in with slow charging. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0135,52,17431,2,Routine service flagged unusual noise. Root cause traced to o2 sensor heater fault.,O2 sensor,O2 sensor heater fault
ICE,P0300,6,16317,3,Bike came in with power loss on acceleration. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
Scooter,P0620,29,52465,5,Bike came in with slow charging. alternator fault suspected after inspection.,Alternator,Alternator fault
EV,EV0412,20,44013,6,Routine service flagged slow charging. Root cause traced to hv isolation fault.,HV wiring/insulation,HV isolation fault
Scooter,P0715,23,46562,5,Routine service flagged reduced range. Root cause traced to input speed sensor fault.,Input speed sensor,Input speed sensor fault
ICE,P0100,21,8335,2,Bike came in with reduced range. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0135,18,47986,6,Routine service flagged rough idling. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0130,15,24150,2,Bike came in with warning light on dash. oxygen sensor fault suspected after inspection.,O2 sensor,Oxygen sensor fault
ICE,P0302,36,19645,3,"No prior complaints, code triggered during diagnostic scan. ignition coil fault confirmed on teardown.",Ignition coil,Ignition coil fault
Scooter,P0300,31,31873,3,"Customer reported warning light on dash. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
ICE,P0620,53,4782,0,"Customer reported reduced range. Checked alternator, found issue consistent with alternator fault.",Alternator,Alternator fault
Scooter,P0110,6,16765,1,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,EV0101,50,34747,4,"No prior complaints, code triggered during diagnostic scan. bms communication fault confirmed on teardown.",BMS unit,BMS communication fault
Scooter,P0730,20,37765,5,"Customer reported battery draining fast. Checked tcu, found issue consistent with transmission control fault.",TCU,Transmission control fault
ICE,P0135,17,43781,4,Bike came in with unusual noise. o2 sensor heater fault suspected after inspection.,O2 sensor,O2 sensor heater fault
ICE,P0304,1,27272,3,"No prior complaints, code triggered during diagnostic scan. fuel injector clog confirmed on teardown.",Fuel injector,Fuel injector clog
ICE,P0302,19,46831,5,"No prior complaints, code triggered during diagnostic scan. fuel injector clog confirmed on teardown.",Fuel injector,Fuel injector clog
EV,EV0311,60,17837,3,Bike came in with slow charging. main contactor fault suspected after inspection.,Main contactor,Main contactor fault
ICE,P0100,42,10264,1,"Customer reported rough idling. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0115,39,49583,7,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0563,45,26878,3,"No prior complaints, code triggered during diagnostic scan. alternator fault confirmed on teardown.",Alternator,Alternator fault
ICE,P0171,57,28813,4,Routine service flagged rough idling. Root cause traced to fuel pump weak.,Fuel pump,Fuel pump weak
ICE,P0171,44,55285,7,"Customer reported battery draining fast. Checked fuel pump, found issue consistent with fuel pump weak.",Fuel pump,Fuel pump weak
EV,EV0311,37,3136,0,"No prior complaints, code triggered during diagnostic scan. main contactor fault confirmed on teardown.",Main contactor,Main contactor fault
Scooter,P0120,41,53862,6,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0505,21,44417,4,Routine service flagged slow charging. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
EV,EV0412,19,43923,5,"Customer reported slow charging. Checked hv wiring/insulation, found issue consistent with hv isolation fault.",HV wiring/insulation,HV isolation fault
Scooter,P0171,17,21686,1,"No prior complaints, code triggered during diagnostic scan. maf sensor dirty confirmed on teardown.",MAF sensor,MAF sensor dirty
ICE,P0480,43,57474,8,"Customer reported reduced range. Checked cooling fan, found issue consistent with cooling fan fault.",Cooling fan,Cooling fan fault
Scooter,P0700,40,50074,6,"Customer reported reduced range. Checked gear sensor, found issue consistent with gear sensor fault.",Gear sensor,Gear sensor fault
ICE,P0191,60,19376,2,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0301,46,10879,1,"No prior complaints, code triggered during diagnostic scan. spark plug worn confirmed on teardown.",Spark plug,Spark plug worn
ICE,P0141,30,8198,2,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0230,27,55204,6,Bike came in with slow charging. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0715,25,12991,2,Bike came in with battery draining fast. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0304,50,52273,6,Routine service flagged battery draining fast. Root cause traced to spark plug worn.,Spark plug,Spark plug worn
Scooter,P0300,47,20066,3,"No prior complaints, code triggered during diagnostic scan. spark plug worn confirmed on teardown.",Spark plug,Spark plug worn
Scooter,P0110,35,32241,4,"No prior complaints, code triggered during diagnostic scan. iat sensor fault confirmed on teardown.",IAT sensor,IAT sensor fault
ICE,P0335,45,16150,3,"No prior complaints, code triggered during diagnostic scan. crank position sensor fault confirmed on teardown.",Crank position sensor,Crank position sensor fault
Scooter,P0335,46,53676,6,Bike came in with slow charging. crank position sensor fault suspected after inspection.,Crank position sensor,Crank position sensor fault
ICE,P0302,33,39178,4,"No prior complaints, code triggered during diagnostic scan. ignition coil fault confirmed on teardown.",Ignition coil,Ignition coil fault
Scooter,P0700,1,47846,4,Bike came in with rough idling. gear sensor fault suspected after inspection.,Gear sensor,Gear sensor fault
Scooter,P0620,22,41345,6,"Customer reported battery draining fast. Checked alternator, found issue consistent with alternator fault.",Alternator,Alternator fault
Scooter,P0340,21,41577,6,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0705,40,4984,0,Routine service flagged reduced range. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0171,7,50331,7,"Customer reported slow charging. Checked fuel pump, found issue consistent with fuel pump weak.",Fuel pump,Fuel pump weak
Scooter,P0115,58,2397,0,"Customer reported warning light on dash. Checked coolant temp sensor, found issue consistent with coolant temp sensor fault.",Coolant temp sensor,Coolant temp sensor fault
Scooter,P0420,28,10040,0,Bike came in with reduced range. catalytic converter worn suspected after inspection.,Catalytic converter,Catalytic converter worn
ICE,P0120,40,57571,7,Bike came in with slow charging. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0730,15,30721,4,Routine service flagged power loss on acceleration. Root cause traced to transmission control fault.,TCU,Transmission control fault
Scooter,P0300,58,19350,3,"Customer reported slow charging. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
Scooter,P0420,41,28307,4,Routine service flagged reduced range. Root cause traced to catalytic converter worn.,Catalytic converter,Catalytic converter worn
Scooter,P0442,7,16045,2,Routine service flagged power loss on acceleration. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
ICE,P0230,54,43637,5,"Customer reported unusual noise. Checked fuel pump relay, found issue consistent with fuel pump relay fault.",Fuel pump relay,Fuel pump relay fault
Scooter,B1318,50,52854,5,Routine service flagged reduced range. Root cause traced to 12v battery weak.,12V battery,12V battery weak
EV,EV0204,40,16925,3,Bike came in with power loss on acceleration. coolant pump fault suspected after inspection.,Coolant pump,Coolant pump fault
ICE,P0172,20,52182,6,Routine service flagged power loss on acceleration. Root cause traced to fuel injector stuck open.,Fuel injector,Fuel injector stuck open
ICE,P0105,59,19840,2,Bike came in with reduced range. wiring harness fault suspected after inspection.,Wiring harness,Wiring harness fault
Scooter,P0105,34,33385,4,Routine service flagged battery draining fast. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
Scooter,P0620,48,57542,7,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
ICE,P0110,56,44823,6,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
Scooter,P0715,6,52318,6,"Customer reported slow charging. Checked input speed sensor, found issue consistent with input speed sensor fault.",Input speed sensor,Input speed sensor fault
Scooter,P0440,38,25470,4,"Customer reported power loss on acceleration. Checked evap purge valve, found issue consistent with evap purge valve fault.",EVAP purge valve,EVAP purge valve fault
Scooter,P0141,2,41102,6,Bike came in with power loss on acceleration. o2 sensor heater fault suspected after inspection.,O2 sensor,O2 sensor heater fault
Scooter,P0304,59,46445,5,"Customer reported reduced range. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
ICE,P0302,20,32784,3,Bike came in with slow charging. spark plug worn suspected after inspection.,Spark plug,Spark plug worn
Scooter,P0563,43,49202,7,"No prior complaints, code triggered during diagnostic scan. alternator fault confirmed on teardown.",Alternator,Alternator fault
EV,P0A80,57,27689,4,"No prior complaints, code triggered during diagnostic scan. battery pack degraded confirmed on teardown.",Battery pack,Battery pack degraded
Scooter,P0505,3,45738,5,"No prior complaints, code triggered during diagnostic scan. idle air control valve fault confirmed on teardown.",Idle air control valve,Idle air control valve fault
ICE,P0440,44,24573,4,Routine service flagged rough idling. Root cause traced to evap purge valve fault.,EVAP purge valve,EVAP purge valve fault
Scooter,P0455,13,8505,1,Bike came in with power loss on acceleration. evap system leak suspected after inspection.,EVAP hose/canister,EVAP system leak
EV,EV0204,4,52063,6,Bike came in with battery draining fast. motor controller overheat suspected after inspection.,Motor controller,Motor controller overheat
Scooter,P0720,5,54882,7,Bike came in with battery draining fast. output speed sensor fault suspected after inspection.,Output speed sensor,Output speed sensor fault
Scooter,P0141,50,10170,2,Bike came in with reduced range. o2 sensor heater fault suspected after inspection.,O2 sensor,O2 sensor heater fault
Scooter,P0705,52,11935,0,"Customer reported reduced range. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0300,51,52170,5,"Customer reported reduced range. Checked spark plug, found issue consistent with spark plug worn.",Spark plug,Spark plug worn
ICE,P0088,9,49109,6,"Customer reported slow charging. Checked fuel pressure sensor, found issue consistent with fuel pressure sensor fault.",Fuel pressure sensor,Fuel pressure sensor fault
Scooter,P0562,33,39406,3,Bike came in with unusual noise. alternator fault suspected after inspection.,Alternator,Alternator fault
Scooter,P0302,30,42661,4,"No prior complaints, code triggered during diagnostic scan. spark plug worn confirmed on teardown.",Spark plug,Spark plug worn
Scooter,P0455,44,7575,0,"No prior complaints, code triggered during diagnostic scan. evap purge valve fault confirmed on teardown.",EVAP purge valve,EVAP purge valve fault
Scooter,P0171,39,10221,0,Routine service flagged slow charging. Root cause traced to vacuum leak.,Vacuum hose,Vacuum leak
EV,EV0101,30,33631,5,"Customer reported battery draining fast. Checked bms unit, found issue consistent with bms communication fault.",BMS unit,BMS communication fault
EV,EV0205,28,30093,2,"No prior complaints, code triggered during diagnostic scan. motor phase wiring fault confirmed on teardown.",Motor phase wiring,Motor phase wiring fault
ICE,P0505,21,28468,3,Routine service flagged reduced range. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
EV,EV0311,5,6478,0,"Customer reported power loss on acceleration. Checked main contactor, found issue consistent with main contactor fault.",Main contactor,Main contactor fault
ICE,P0440,36,4430,1,Routine service flagged power loss on acceleration. Root cause traced to evap purge valve fault.,EVAP purge valve,EVAP purge valve fault
Scooter,P0100,23,57752,8,"No prior complaints, code triggered during diagnostic scan. wiring harness fault confirmed on teardown.",Wiring harness,Wiring harness fault
EV,P0A80,19,39848,4,Bike came in with reduced range. battery pack degraded suspected after inspection.,Battery pack,Battery pack degraded
EV,EV0310,15,56027,6,Routine service flagged rough idling. Root cause traced to onboard charger fault.,Onboard charger,Onboard charger fault
ICE,P0191,52,28622,4,"Customer reported unusual noise. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
EV,EV0310,2,12323,1,Routine service flagged warning light on dash. Root cause traced to charging cable fault.,Charging cable,Charging cable fault
ICE,P0420,12,57507,6,"No prior complaints, code triggered during diagnostic scan. catalytic converter worn confirmed on teardown.",Catalytic converter,Catalytic converter worn
ICE,P0110,6,49397,7,"No prior complaints, code triggered during diagnostic scan. iat sensor fault confirmed on teardown.",IAT sensor,IAT sensor fault
ICE,P0340,24,20923,3,"Customer reported rough idling. Checked cam position sensor, found issue consistent with cam position sensor fault.",Cam position sensor,Cam position sensor fault
ICE,P0110,49,40990,4,Routine service flagged slow charging. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
EV,EV0310,32,40285,5,Bike came in with battery draining fast. onboard charger fault suspected after inspection.,Onboard charger,Onboard charger fault
ICE,P0480,23,28674,2,"No prior complaints, code triggered during diagnostic scan. cooling fan fault confirmed on teardown.",Cooling fan,Cooling fan fault
EV,EV0310,3,14951,1,"Customer reported rough idling. Checked charging cable, found issue consistent with charging cable fault.",Charging cable,Charging cable fault
Scooter,P0135,14,50789,5,Routine service flagged warning light on dash. Root cause traced to wiring harness fault.,Wiring harness,Wiring harness fault
ICE,P0100,32,49456,6,"No prior complaints, code triggered during diagnostic scan. maf sensor dirty confirmed on teardown.",MAF sensor,MAF sensor dirty
EV,EV0501,33,37116,5,"Customer reported slow charging. Checked dc-dc converter, found issue consistent with dc-dc converter fault.",DC-DC converter,DC-DC converter fault
Scooter,P0302,2,30630,2,"No prior complaints, code triggered during diagnostic scan. ignition coil fault confirmed on teardown.",Ignition coil,Ignition coil fault
Scooter,P0455,19,8048,1,Routine service flagged reduced range. Root cause traced to evap system leak.,EVAP hose/canister,EVAP system leak
EV,EV0102,54,45694,5,"Customer reported reduced range. Checked regen braking controller, found issue consistent with regen braking control fault.",Regen braking controller,Regen braking control fault
Scooter,P0507,34,5654,0,Routine service flagged reduced range. Root cause traced to throttle body dirty.,Throttle body,Throttle body dirty
ICE,P0340,5,33955,5,Bike came in with battery draining fast. cam position sensor fault suspected after inspection.,Cam position sensor,Cam position sensor fault
Scooter,P0420,47,54170,7,Bike came in with rough idling. oxygen sensor fault suspected after inspection.,O2 sensor,Oxygen sensor fault
Scooter,P0110,13,11870,2,"Customer reported reduced range. Checked iat sensor, found issue consistent with iat sensor fault.",IAT sensor,IAT sensor fault
EV,EV0204,30,49943,7,"No prior complaints, code triggered during diagnostic scan. coolant pump fault confirmed on teardown.",Coolant pump,Coolant pump fault
Scooter,P0720,56,41605,5,"Customer reported slow charging. Checked output speed sensor, found issue consistent with output speed sensor fault.",Output speed sensor,Output speed sensor fault
Scooter,P0562,51,18501,3,"Customer reported warning light on dash. Checked 12v battery, found issue consistent with battery voltage low.",12V battery,Battery voltage low
Scooter,P0563,3,4228,0,"Customer reported power loss on acceleration. Checked alternator, found issue consistent with alternator fault.",Alternator,Alternator fault
Scooter,P0171,30,38532,5,"Customer reported slow charging. Checked maf sensor, found issue consistent with maf sensor dirty.",MAF sensor,MAF sensor dirty
Scooter,P0720,21,40149,5,"Customer reported slow charging. Checked wiring harness, found issue consistent with wiring harness fault.",Wiring harness,Wiring harness fault
Scooter,P0172,46,6026,1,"Customer reported reduced range. Checked maf sensor, found issue consistent with maf sensor dirty.",MAF sensor,MAF sensor dirty
